gene_name,array,ns,sweden,tcga
AC002064_1,0,0,0,1
AC002064_2,0,0,0,1
AC002064_3,0,0,0,1
AC002066_1,0,0,0,1
AC002069_1,0,0,0,1
AC002069_2,0,0,0,1
AC002070_1,0,0,0,1
AC002075_1,0,0,0,1
AC002075_2,0,0,0,1
AC002076_1,0,0,0,1
AC002076_2,0,0,0,1
AC002090_1,0,0,0,1
AC002091_1,0,0,0,1
AC002091_2,0,0,0,1
AC002094_1,0,0,0,1
AC002094_2,0,0,0,1
AC002094_3,0,0,0,1
AC002094_4,0,0,0,1
AC002094_5,0,0,0,1
AC002101_1,0,0,0,1
AC002115_1,0,0,0,1
AC002116_1,0,0,0,1
AC002116_2,0,0,0,1
AC002127_1,0,0,0,1
AC002127_2,0,0,0,1
AC002128_1,0,0,0,1
AC002128_2,0,0,0,1
AC002306_1,0,0,0,1
AC002310_1,0,0,0,1
AC002310_2,0,0,0,1
AC002310_3,0,0,0,1
AC002310_4,0,0,0,1
AC002310_5,0,0,0,1
AC002310_6,0,0,0,1
AC002347_1,0,0,0,1
AC002347_2,0,0,0,1
AC002350_1,0,0,0,1
AC002350_2,0,0,0,1
AC002351_1,0,0,0,1
AC002366_1,0,0,0,1
AC002367_1,0,0,0,1
AC002368_1,0,0,0,1
AC002375_1,0,0,0,1
AC002378_1,0,0,0,1
AC002381_1,0,0,0,1
AC002383_1,0,0,0,1
AC002384_1,0,0,0,1
AC002386_1,0,0,0,1
AC002398_1,0,0,0,1
AC002398_2,0,0,0,1
AC002400_1,0,0,0,1
AC002401_1,0,0,0,1
AC002401_2,0,0,0,1
AC002401_3,0,0,0,1
AC002401_4,0,0,0,1
AC002428_1,0,0,0,1
AC002428_2,0,0,0,1
AC002429_1,0,0,0,1
AC002429_2,0,0,0,1
AC002451_1,0,0,0,1
AC002451_2,0,0,0,1
AC002454_1,0,0,0,1
AC002456_1,0,0,0,1
AC002456_2,0,0,0,1
AC002460_1,0,0,0,1
AC002463_1,0,0,0,1
AC002464_1,0,0,0,1
AC002465_1,0,0,0,1
AC002467_1,0,0,0,1
AC002470_1,0,0,0,1
AC002472_1,0,0,0,1
AC002480_1,0,0,0,1
AC002480_2,0,0,0,1
AC002480_3,0,0,0,1
AC002480_4,0,0,0,1
AC002486_1,0,0,0,1
AC002486_2,0,0,0,1
AC002487_1,0,0,0,1
AC002504_1,0,0,0,1
AC002511_1,0,0,0,1
AC002511_2,0,0,0,1
AC002519_1,0,0,0,1
AC002519_2,0,0,0,1
AC002524_1,0,0,0,1
AC002525_1,0,0,0,1
AC002540_1,0,0,0,1
AC002542_1,0,0,0,1
AC002543_1,0,0,0,1
AC002545_1,0,0,0,1
AC002546_1,0,0,0,1
AC002546_2,0,0,0,1
AC002550_1,0,0,0,1
AC002550_2,0,0,0,1
AC002551_1,0,0,0,1
AC002553_1,0,0,0,1
AC002553_2,0,0,0,1
AC002553_3,0,0,0,1
AC002553_4,0,0,0,1
AC002558_1,0,0,0,1
AC002558_2,0,0,0,1
AC002558_3,0,0,0,1
AC002563_1,0,0,0,1
AC002984_1,0,0,0,1
AC002985_1,0,0,0,1
AC002985_2,0,0,0,1
AC002996_1,0,0,0,1
AC003001_1,0,0,0,1
AC003001_2,0,0,0,1
AC003002_1,0,0,0,1
AC003002_2,0,0,0,1
AC003002_3,0,0,0,1
AC003002_4,0,0,0,1
AC003005_1,0,0,0,1
AC003005_2,0,0,0,1
AC003006_1,0,0,0,1
AC003009_1,0,0,0,1
AC003029_1,0,0,0,1
AC003035_1,0,0,0,1
AC003035_2,0,0,0,1
AC003043_1,0,0,0,1
AC003045_1,0,0,0,1
AC003070_1,0,0,0,1
AC003070_2,0,0,0,1
AC003071_1,0,0,0,1
AC003071_2,0,0,0,1
AC003072_1,0,0,0,1
AC003075_1,0,0,0,1
AC003080_1,0,0,0,1
AC003084_1,0,0,0,1
AC003087_1,0,0,0,1
AC003092_1,0,0,0,1
AC003092_2,0,0,0,1
AC003098_1,0,0,0,1
AC003101_1,0,0,0,1
AC003101_2,0,0,0,1
AC003101_3,0,0,0,1
AC003102_1,0,0,0,1
AC003102_2,0,0,0,1
AC003659_1,0,0,0,1
AC003666_1,0,0,0,1
AC003669_1,0,0,0,1
AC003681_1,0,0,0,1
AC003682_1,0,0,0,1
AC003684_1,0,0,0,1
AC003685_1,0,0,0,1
AC003685_2,0,0,0,1
AC003686_1,0,0,0,1
AC003687_1,0,0,0,1
AC003688_1,0,0,0,1
AC003688_2,0,0,0,1
AC003956_1,0,0,0,1
AC003957_1,0,0,0,1
AC003958_1,0,0,0,1
AC003958_2,0,0,0,1
AC003965_1,0,0,0,1
AC003965_2,0,0,0,1
AC003973_1,0,0,0,1
AC003973_2,0,0,0,1
AC003973_3,0,0,0,1
AC003975_1,0,0,0,1
AC003982_1,0,0,0,1
AC003982_2,0,0,0,1
AC003984_1,0,0,0,1
AC003985_1,0,0,0,1
AC003985_2,0,0,0,1
AC003986_1,0,0,0,1
AC003986_2,0,0,0,1
AC003986_3,0,0,0,1
AC003988_1,0,0,0,1
AC003989_1,0,0,0,1
AC003989_2,0,0,0,1
AC003991_1,0,0,0,1
AC003991_2,0,0,0,1
AC004000_1,0,0,0,1
AC004004_1,0,0,0,1
AC004006_1,0,0,0,1
AC004009_1,0,0,0,1
AC004009_2,0,0,0,1
AC004009_3,0,0,0,1
AC004012_1,0,0,0,1
AC004014_1,0,0,0,1
AC004014_2,0,0,0,1
AC004022_1,0,0,0,1
AC004022_2,0,0,0,1
AC004023_1,0,0,0,1
AC004024_1,0,0,0,1
AC004034_1,0,0,0,1
AC004039_1,0,0,0,1
AC004052_1,0,0,0,1
AC004053_1,0,0,0,1
AC004054_1,0,0,0,1
AC004057_1,0,0,0,1
AC004062_1,0,0,0,1
AC004063_1,0,0,0,1
AC004066_1,0,0,0,1
AC004066_2,0,0,0,1
AC004067_1,0,0,0,1
AC004069_1,0,0,0,1
AC004069_2,0,0,0,1
AC004074_1,0,0,0,1
AC004076_1,0,0,0,1
AC004076_2,0,0,0,1
AC004080_1,0,0,0,1
AC004080_2,0,0,0,1
AC004080_3,0,0,0,1
AC004080_4,0,0,0,1
AC004080_5,0,0,0,1
AC004080_6,0,0,0,1
AC004112_1,0,0,0,1
AC004129_1,0,0,0,1
AC004129_2,0,0,0,1
AC004130_1,0,0,0,1
AC004134_1,0,0,0,1
AC004147_1,0,0,0,1
AC004147_2,0,0,0,1
AC004147_3,0,0,0,1
AC004147_4,0,0,0,1
AC004147_5,0,0,0,1
AC004148_1,0,0,0,1
AC004148_2,0,0,0,1
AC004149_1,0,0,0,1
AC004156_1,0,0,0,1
AC004158_1,0,0,0,1
AC004160_1,0,0,0,1
AC004160_2,0,0,0,1
AC004217_1,0,0,0,1
AC004217_2,0,0,0,1
AC004217_3,0,0,0,1
AC004221_1,0,0,0,1
AC004223_1,0,0,0,1
AC004223_2,0,0,0,1
AC004223_3,0,0,0,1
AC004223_4,0,0,0,1
AC004224_1,0,0,0,1
AC004224_2,0,0,0,1
AC004231_1,0,0,0,1
AC004231_3,0,0,0,1
AC004232_1,0,0,0,1
AC004232_2,0,0,0,1
AC004232_3,0,0,0,1
AC004233_1,0,0,0,1
AC004233_2,0,0,0,1
AC004233_3,0,0,0,1
AC004233_4,0,0,0,1
AC004241_1,0,0,0,1
AC004241_2,0,0,0,1
AC004241_3,0,0,0,1
AC004241_4,0,0,0,1
AC004241_5,0,0,0,1
AC004253_1,0,0,0,1
AC004253_2,0,0,0,1
AC004257_1,0,0,0,1
AC004263_1,0,0,0,1
AC004263_2,0,0,0,1
AC004264_1,0,0,0,1
AC004264_2,0,0,0,1
AC004381_1,0,0,0,1
AC004383_1,0,0,0,1
AC004386_1,0,0,0,1
AC004386_2,0,0,0,1
AC004408_1,0,0,0,1
AC004408_2,0,0,0,1
AC004415_1,0,0,0,1
AC004448_1,0,0,0,1
AC004448_2,0,0,0,1
AC004448_3,0,0,0,1
AC004448_4,0,0,0,1
AC004448_5,0,0,0,1
AC004449_1,0,0,0,1
AC004453_1,0,0,0,1
AC004453_2,0,0,0,1
AC004461_1,0,0,0,1
AC004461_2,0,0,0,1
AC004466_1,0,0,0,1
AC004466_2,0,0,0,1
AC004466_3,0,0,0,1
AC004467_1,0,0,0,1
AC004470_1,0,0,0,1
AC004471_1,0,0,0,1
AC004471_2,0,0,0,1
AC004477_1,0,0,0,1
AC004477_2,0,0,0,1
AC004477_3,0,0,0,1
AC004485_1,0,0,0,1
AC004486_1,0,0,0,1
AC004490_1,0,0,0,1
AC004491_1,0,0,0,1
AC004492_1,0,0,0,1
AC004494_1,0,0,0,1
AC004494_2,0,0,0,1
AC004520_1,0,0,0,1
AC004522_1,0,0,0,1
